username,clientes
httpassessoriafinance0online.com,desconhecido
https://www.instagram.com/bancoorignal___/,banco original
suporte.bancopan.online__,banco pan
bradesco-atendimentoprime.info.gf,bradesco
esco.brad,bradesco
portodoacubreja,porto do acu
kopenhagens.store,kopenhagen
http://git.git.gitlab.gitlab.gitlab.git.git.com.simplehappykitchen.club/,desconhecido
https://www.instagram.com/c6banksuporte283838/,c6 bank
virtualamericanas.com,americanas
quintoandar.charismabi.com,quinto andar
www.pam.consultoresfinanceiros.com.br,desconhecido
*.prime-bradesco.us,bradesco
https://www.instagram.com/michelly.original_/,banco original
http://www.wrpc.org/,desconhecido
https://cetipb3.com/,b3
lucascostaat_trader,desconhecido
https://apkcombo.com/pt/gimb-raizen-serra/com.dpagliotto.gimb.serra/,raizen
banco-next-conssultoria.com,next
grupo_veloz_bb,banco do brasil
https://www.instagram.com/ifood_aracaju_caruaru_campina/,ifood
https://twitter.com/BateriasMoura2,grupo moura
*.mdscorretora.com.br,desconhecido
toyota_lucasmeirelles,toyota
sagavolkspecas.conteudosaga.com.br,banco volkswagen
https://www.instagram.com/atendimento.c6bank.ouvidoria/,c6 bank
seminovosmovidatg,movida
https://www.facebook.com/groups/150505441737024/,desconhecido
https://www.instagram.com/mara_bia27/,desconhecido
https://apkpure.com/sontra-fretes-e-cargas/com.sontra.sontra/download?from=details,desconhecido
bradesco.corretoradesaude.online,bradesco
https://www.instagram.com/online.c6bank.atendimento.20/,c6 bank
*.appferiasbradesco.com,bradesco
brunomaciel.ecom,desconhecido
https://www.instagram.com/mahdi.comgasmi/,comgas
oboticario.wikimee.com,desconhecido
https://www.instagram.com/consorciovolkswagenvwfs/,banco volkswagen
ifoodmotosuhai.togarantido.com.br,ifood
https://www.instagram.com/c6bankatendimentoaocliente/,c6 bank
https://comunicaonline.kpages.online/comunica,desconhecido
dsalonbeleza.dsalon.dns.navy,desconhecido
nubank-mexico.runahr.com,nubank
dualitychecker.xyz,desconhecido
bb-atendimento.com.br.tecnoprintsp.com.br,banco do brasil
c6ficsa.xyz,c6 bank
denis_consultor_original,banco original
lancome_annapolis,desconhecido
gruposada,desconhecido
bradesco.y.myio.com.br,bradesco
ifood7406help.zendesk.com,ifood
mercadolivre.cyou,mercado livre
carlos_suport_,desconhecido
banco_santander_v.2,santander
*.pontos-livelobb.online,banco do brasil
*.santandber.com,santander
cassiahermes_agenteoriginal,banco original
c6bankjania,c6 bank
liquida_amedigital,ame digital
raulsillasbraga,desconhecido
resgatedepontospessoafisica.online,desconhecido
beguim_conexaoc6,c6 bank
roxinhodelivery.com.br,desconhecido
adsassessoriaquitacaoonline.com,desconhecido
corsaifood,ifood
traefik.fc-7512-update-lendico.dev.fincompare.de,desconhecido
digitalappame,ame digital
atendente_digital_htl,desconhecido
karencrous.or,desconhecido
gabrieldcc,desconhecido
atendimento970,desconhecido
https://www.instagram.com/ottogspaarenberg/,desconhecido
http://www.liberator.co.th/,desconhecido
www.consultorbradesco.com.br,bradesco
suellensantos2970,desconhecido
https://www.instagram.com/anportllho/,desconhecido
https://www.apkmirror.com/apk/c6-bank/c6-bank-cartao-de-credito-conta-pf-e-mei-gratis/c6-bank-cartao-de-credito-conta-pf-e-mei-gratis-2-85-0-release/c6-bank-cartao-de-credito-conta-pf-e-mei-gratis-2-85-0-android-apk-download/,c6 bank
sni.cloudflaressl.com,desconhecido
https://www.instagram.com/c6.fgts/,c6 bank
https://www.instagram.com/ifoodbrasil2022/,ifood
https://atendimentosa.rds.land/site?gclid=EAIaIQobChMIkbn52LXP_AIVyGkqCh0zrwiQEAAYAyAAEgJC_vD_BwE,desconhecido
mercado_nu,nubank
sni.cloudflaressl.com,desconhecido
ofertasdescontoame.com,ame digital
www.atendebvonline.combat.com.br,bv financeira
https://www.instagram.com/c6bankclientes/,c6 bank
tiago.caminhoes,desconhecido
https://apptopia.com/google-play/app/com.btg.business/about,btg pactual
*.bradescosegurancadigital.com,bradesco
atendente.karol.banco.pan,banco pan
grupo_sada_perfumesylociones,desconhecido
nubank_fakeaqui,nubank
www.particulares-bancosantanderbf.duckdns.org,santander
*.pontualiveloonline.com,livelo
https://sites.google.com/view/canalsfbrasil/in%C3%ADcio,desconhecido
tlmaisbb,banco do brasil
https://malinhadio9876.kpages.online/vw,desconhecido
www.bradesco.dispositivojuridico.com,bradesco
www.mercadolivrei.com.br,mercado livre
costa.farina.consorcios,desconhecido
notopodoifood.cursex,ifood
c6maite,c6 bank
quintoandarj,quinto andar
tumbala.quintoandar.pt,quinto andar
*.folhasaopaulonews.site,desconhecido
health-bradesco.devadoc.com.br,bradesco
bradescopontosacumulado.co.ua,bradesco
sac.bradesco-celular.net,bradesco
eu_sou_willbank_e_willis,will bank
api.gadcbf.net.bradesco.com.br,bradesco
www.wp-bradesco-01.simulador.app.br,bradesco
www.consigcreditos.com.br,desconhecido
carlos_de_almeidaa,desconhecido
https://www.instagram.com/c6bank_ll/,c6 bank
mercado_libre_latam_,mercado livre
ws.bradescofinanciamentos.com.br,bradesco
nickdopan,banco pan
https://genialinvestimentos.store/,banco genial
http://pe.pedramit.space/,desconhecido
atendimento_nubank.24hrs,nubank
*.clavon-uol.dev,desconhecido
bdsco-pontoslivelo.com,livelo
contatonextbrasilbr.com,next
raizens-portals.com,raizen
*.bradescolivelo.chatempresarial.com,bradesco
http://boswellsurveyors.com/,desconhecido
http://ibb.confirmacaodispositivo.com/,desconhecido
https://www.instagram.com/bancorodobens/,rodobens
rodobensteste.hmg.tec.br,rodobens
*.bancopan21.com,banco pan
santanderbanking.com,santander
www.afiliadoamericanasbrasil.club,americanas
www.contasimples-io-acesso.com,conta simples
http://cpcontacts.nrnsanchaar.com/,desconhecido
semprerenovandoaqui.com,desconhecido
https://www.instagram.com/banco_volkswagen/,banco volkswagen
